date,church,meditation,mindfulness,manifestation,chakras,rep
2012-08-01,80.0,3.0,0.0,0.0,0.0,2.0
2012-09-01,78.0,3.0,0.0,0.0,0.0,2.0
2012-10-01,75.0,3.0,0.0,0.0,0.0,2.0
2012-11-01,76.0,3.0,0.0,0.0,0.0,2.0
2012-12-01,92.0,3.0,0.0,0.0,0.0,2.0
2013-01-01,77.0,3.0,0.0,0.0,0.0,2.0
2013-02-01,82.0,4.0,0.0,0.0,0.0,2.0
2013-03-01,92.0,4.0,0.0,0.0,0.0,2.0
2013-04-01,81.0,4.0,0.0,0.0,0.0,2.0
2013-05-01,74.0,3.0,0.0,0.0,0.0,2.0
2013-06-01,76.0,3.0,0.0,0.0,0.0,2.0
2013-07-01,74.0,4.0,0.0,0.0,0.0,2.0
2013-08-01,80.0,4.0,0.0,0.0,0.0,2.0
2013-09-01,80.0,4.0,0.0,0.0,0.0,2.0
2013-10-01,78.0,4.0,0.0,0.0,0.0,2.0
2013-11-01,75.0,4.0,1.0,0.0,0.0,2.0
2013-12-01,81.0,4.0,0.0,0.0,0.0,2.0
2014-01-01,77.0,4.0,1.0,0.0,0.0,2.0
2014-02-01,76.0,4.0,1.0,0.0,0.0,2.0
2014-03-01,88.0,4.0,1.0,0.0,0.0,2.0
2014-04-01,90.0,4.0,1.0,0.0,0.0,2.0
2014-05-01,75.0,4.0,1.0,0.0,0.0,2.0
2014-06-01,80.0,4.0,1.0,0.0,0.0,2.0
2014-07-01,74.0,4.0,1.0,0.0,0.0,2.0
2014-08-01,79.0,4.0,0.0,0.0,0.0,2.0
2014-09-01,77.0,4.0,1.0,0.0,0.0,2.0
2014-10-01,76.0,4.0,1.0,0.0,0.0,2.0
2014-11-01,75.0,4.0,1.0,0.0,0.0,2.0
2014-12-01,87.0,4.0,1.0,0.0,0.0,2.0
2015-01-01,86.0,5.0,1.0,0.0,0.0,2.0
2015-02-01,84.0,4.0,1.0,0.0,0.0,2.0
2015-03-01,85.0,5.0,1.0,0.0,0.0,2.0
2015-04-01,90.0,4.0,1.0,0.0,0.0,2.0
2015-05-01,78.0,4.0,1.0,0.0,0.0,2.0
2015-06-01,83.0,4.0,1.0,0.0,0.0,2.0
2015-07-01,78.0,4.0,1.0,0.0,0.0,2.0
2015-08-01,81.0,4.0,1.0,0.0,0.0,2.0
2015-09-01,74.0,4.0,1.0,0.0,0.0,2.0
2015-10-01,74.0,4.0,1.0,0.0,0.0,2.0
2015-11-01,71.0,4.0,1.0,0.0,0.0,2.0
2015-12-01,79.0,4.0,1.0,0.0,0.0,2.0
2016-01-01,76.0,5.0,1.0,0.0,0.0,2.0
2016-02-01,81.0,5.0,1.0,0.0,0.0,2.0
2016-03-01,91.0,5.0,1.0,0.0,0.0,2.0
2016-04-01,80.0,5.0,1.0,0.0,0.0,2.0
2016-05-01,80.0,5.0,1.0,0.0,0.0,2.0
2016-06-01,80.0,4.0,1.0,0.0,0.0,2.0
2016-07-01,79.0,4.0,1.0,0.0,0.0,2.0
2016-08-01,75.0,4.0,1.0,0.0,0.0,2.0
2016-09-01,77.0,4.0,1.0,0.0,0.0,2.0
2016-10-01,77.0,5.0,1.0,0.0,0.0,2.0
2016-11-01,75.0,5.0,1.0,0.0,0.0,2.0
2016-12-01,80.0,4.0,1.0,0.0,0.0,2.0
2017-01-01,79.0,5.0,1.0,0.0,0.0,2.0
2017-02-01,79.0,5.0,1.0,0.0,0.0,2.0
2017-03-01,81.0,5.0,1.0,0.0,0.0,2.0
2017-04-01,94.0,5.0,1.0,0.0,0.0,2.0
2017-05-01,76.0,5.0,1.0,0.0,0.0,2.0
2017-06-01,75.0,4.0,1.0,0.0,0.0,2.0
2017-07-01,77.0,5.0,1.0,0.0,0.0,2.0
2017-08-01,77.0,5.0,1.0,0.0,0.0,2.0
2017-09-01,75.0,5.0,1.0,0.0,0.0,2.0
2017-10-01,78.0,5.0,1.0,0.0,0.0,2.0
2017-11-01,81.0,5.0,1.0,0.0,0.0,2.0
2017-12-01,85.0,4.0,1.0,0.0,0.0,2.0
2018-01-01,75.0,5.0,1.0,0.0,1.0,2.0
